cust,st,g,a,salesrev
Tessa Berg,VA,Female,41,$313
Tessa Fernandez,AZ,Female,50,$237
Tessa Navarro,FL,Female,67,$80
Tessa Whitfield,NY,Female,50,$171
Thad Cobb,NH,Male,38,$135
Thelma Castaneda,PA,Female,40,$20
Thelma Mann,UT,Female,71,$273
Theo Houston,NC,Male,34,$25
Theo Martinez,NY,Male,25,$420
Theodore Ortega,TX,Male,61,$25
Theresa Byrd,VA,Female,63,$20
Theresa Reilly,CA,Female,72,$174
Theresa Sharp,MA,Female,48,$5
Theresa Wolfe,PA,Female,62,$247
Therese Evans,NY,Female,56,$500
Tia Monroe,TN,Female,24,$104
Tiffany Schwartz,WA,Female,71,$296
Tim Beasley,NJ,Male,59,$160
Tim Callahan,AZ,Male,83,$224
Tim Delaney,LA,Male,21,$230
Timmy McGowan,NY,Male,68,$90
Timmy Price,FL,Male,86,$549
Timothy Crosby,TX,Male,37,$533
Tina Church,UT,Female,53,$152
Tina Hobbs,CA,Female,65,$270
Tina McCormick,NC,Female,62,$180
Tina Patton,MA,Female,27,$199
Tina Payne,VA,Female,50,$500
Tisha Ballard,TX,Female,82,$78
Tobias Witt,GA,Male,57,$429
Toby Chambers,NC,Male,65,$140
Toby Mullins,TX,Male,74,$396
Toby Padilla,CA,Male,31,$649
Todd Doyle,TX,Male,51,$275
Todd Huber,PA,Male,21,$160
Tom Ayala,FL,Male,61,$60
Tom Malone,GA,Male,56,$180
Tomas Delgado,WA,Male,32,$369
Tomas Finch,TX,Male,71,$46
Tomas Phillips,RI,Male,27,$597
Tommie Dunn,GA,Female,49,$190
Tommie Lynch,CA,Male,24,$218
Tommie Tillman,CO,Male,50,$210
Toney Harrison,NC,Male,53,$180
Toney Kramer,NY,Male,36,$293
Toney McConnell,AL,Male,70,$534
Toney McFadden,OH,Male,51,$215
Toney McMahon,LA,Male,49,$172
Toney Sanders,TX,Male,29,$1228
Toney Whitley,GA,Male,57,$703
Toni Gomez,WA,Female,60,$616
Toni Hays,TX,Female,38,$91
Tonia Guzman,CA,Female,48,$198
Tonia Hughes,FL,Female,75,$1638
Tonia Nichols,NC,Female,52,$415
Tony Mendoza,PA,Male,51,$240
Tony Wright,VA,Male,72,$117
Tonya Knowles,FL,Female,87,$312
Tonya Peck,TN,Female,66,$74
Tory Hines,VA,Male,39,$479
Tracey Dorsey,CA,Female,73,$140
Tracey Franks,GA,Male,32,$480
Tracey Malone,PA,Female,38,$100
Tracey McFadden,FL,Female,61,$207
Tracey Powell,GA,Female,24,$120
Tracey Ratliff,CO,Female,64,$210
Traci Morin,FL,Female,79,$194
Traci Ochoa,TX,Female,61,$100
Traci Wiggins,TX,Female,80,$238
Tracie Sanders,NC,Female,60,$200
Tracy Barrett,OH,Female,50,$593
Tracy Dickerson,FL,Female,81,$1175
Tracy Galloway,CA,Female,28,$265
Tracy Hobbs,CA,Female,34,$80
Travis Bonner,AZ,Male,67,$175
Travis Quinn,GA,Male,42,$225
Trent Elliott,FL,Male,66,$339
Trent Jimenez,RI,Male,62,$90
Trent Ray,NY,Male,31,$259
Trent Richardson,PA,Male,46,$600
Trent Tillman,NY,Male,38,$659
Trenton Berger,NM,Male,77,$502
Trenton Cleveland,FL,Male,60,$200
Trenton Schmidt,NY,Male,62,$150
Trevor Conner,NH,Male,57,$514
Trevor Sellers,FL,Male,81,$130
Trey Nolan,PA,Male,30,$66
Trey Richard,VA,Male,39,$350
Trey Tran,NC,Male,27,$450
Tricia Barrera,TX,Female,47,$288
Tricia Eaton,NC,Female,44,$423
Trina Gilmore,CO,Female,66,$360
Trina Marshall,PA,Female,56,$499
Trinidad Dorsey,TX,Male,74,$600
Trinidad Estes,TX,Male,73,$623
Trinidad Guy,FL,Male,75,$22
Tristan Reilly,VA,Male,28,$236
Trudy Levy,WA,Female,42,$694
Trudy Nieves,TX,Female,44,$263
Trudy Pace,CO,Female,74,$294
Trudy Soto,TX,Female,34,$968
Tuan Cotton,NC,Male,55,$350
Tuan Henderson,AZ,Male,41,$125
Ty Robinson,WA,Male,69,$653
Tyler Dean,PA,Male,45,$165
Tyler Robinson,VA,Male,71,$279
Tyrell Jordan,CO,Male,69,$120
Tyrell McCall,NJ,Male,61,$354
Tyron Bailey,VA,Male,22,$80
Tyron McKnight,NJ,Male,38,$609
Tyron Ramos,NY,Male,64,$240
Tyrone Fields,CA,Male,63,$24
Tyson Barlow,OR,Male,59,$299
Ursula Rich,VA,Female,30,$30
Valarie Kim,CO,Female,27,$118
Valentin Austin,TN,Male,40,$273
Valentin Burgess,FL,Male,57,$30
Valentin Fisher,OR,Male,58,$180
Valentin Russell,FL,Male,81,$175
Valentin Shepard,PA,Male,37,$216
Valentine Schroeder,VA,Male,61,$112
Valeria Flowers,OR,Female,37,$194
Valeria Wagner,TX,Female,34,$213
Valerie Whitfield,NC,Female,66,$144
Van Myers,RI,Male,55,$159
Vance Harrington,VA,Male,70,$219
Vance Sharpe,AZ,Male,47,$225
Vanessa Roberts,TX,Female,41,$463
Vera Gross,TX,Female,36,$260
Vera Hicks,NY,Female,39,$359
Vera Hooper,SC,Female,24,$459
Vera Sherman,NC,Female,61,$70
Vern Buck,NH,Male,60,$604
Verna McCarthy,NC,Female,31,$125
Vernon Fitzgerald,NJ,Male,66,$60
Vernon McConnell,CA,Male,39,$45
Vernon Woodard,AZ,Male,61,$337
Veronica Payne,NM,Female,74,$60
Veronica Riley,TX,Female,76,$178
Veronica Whitaker,TX,Female,72,$120
Vicente Ashley,NC,Male,27,$340
Vicente Hodge,NC,Male,31,$82
Vicente Savage,RI,Male,24,$150
Vickie Glenn,TN,Female,33,$664
Vickie Morales,PA,Female,59,$95
Vicky Hampton,TX,Female,66,$307
Vicky Mack,FL,Female,53,$60
Victor Harper,FL,Male,92,$100
Victor Santana,NY,Male,27,$40
Vince Joyce,TN,Male,35,$100
Vincent Hardin,OR,Male,60,$137
Vincent Marshall,TN,Male,27,$140
Vincent Maynard,FL,Male,59,$1129
Viola Brennan,MA,Female,45,$309
Viola Hays,NJ,Female,47,$210
Viola Hurley,NC,Female,76,$656
Violet Schneider,NH,Female,69,$78
Violet Sparks,LA,Female,64,$249
Virgie Cooley,CO,Female,45,$261
Virgil Cote,WA,Male,47,$356
Virgil Pugh,VA,Male,61,$191
Virgilio Ashley,FL,Male,82,$320
Virgilio Bauer,OR,Male,55,$218
Virgilio Medina,VA,Male,46,$85
Virginia Case,LA,Female,62,$450
Virginia McCray,NJ,Female,68,$423
Vito Morales,VA,Male,48,$100
Vivian Church,FL,Female,72,$160
Von Fox,CO,Male,70,$151
Von Vazquez,TX,Male,77,$256
Vonda Holloway,CO,Female,35,$319
Vonda Hood,CT,Female,34,$308
Walker Hernandez,GA,Male,74,$289
Walker Lambert,OR,Male,74,$509
Wallace Boyle,CA,Male,62,$749
Wally Harding,FL,Male,54,$280
Walton Keller,CT,Male,48,$300
Walton Kirby,CA,Male,32,$223
Wanda Ingram,VA,Female,25,$779
Ward Osborn,RI,Male,65,$30
Warner Bailey,SC,Male,67,$140
Warner Powell,PA,Male,52,$90
Warren Boyer,FL,Male,49,$856
Warren Marquez,CO,Male,67,$457
Warren Pace,WA,Male,27,$426
Warren Woodard,CA,Male,65,$80
Wayne Carpenter,TX,Male,78,$299
Wayne Houston,PA,Male,61,$60
Wayne Marsh,MA,Male,28,$45
Wayne Sutton,NY,Male,36,$60
Wendell Blankenship,CA,Male,31,$560
Wendi Bowman,MA,Female,38,$175
Wendi Jacobson,SC,Female,63,$334
Wendi Montgomery,CO,Female,49,$673
Wendy Green,FL,Female,86,$120
Wendy Stevens,SC,Female,43,$220
Werner Cooke,NC,Male,52,$260
Werner Murphy,CA,Male,49,$329
Wesley Goodwin,TX,Male,52,$140
Whitney Day,CA,Female,48,$230
Whitney Holt,AZ,Male,84,$250
Wilber Barton,FL,Male,73,$96
Wilber Morse,CA,Male,43,$13
Wilbert Foster,NH,Male,59,$175
Wilbur Gregory,GA,Male,71,$479
Wilbur Roman,CT,Male,36,$140
Wilda Franklin,NM,Female,82,$20
Wilda McMahon,VA,Female,29,$1077
Wilda Weaver,AZ,Female,69,$90
Wiley McDonald,CO,Male,62,$218
Wiley Stark,PA,Male,50,$673
Wilfred Shaw,FL,Male,46,$180
Wilfredo Glover,NY,Male,59,$395
Wilfredo Livingston,NC,Male,32,$26
Will Mann,CO,Male,63,$155
Willa Bishop,AZ,Female,43,$200
Willa Dodson,TX,Female,45,$252
Willa Spears,MA,Female,49,$637
Willard Lowery,FL,Male,53,$25
Willard Luna,CO,Male,42,$107
Willard McLaughlin,FL,Male,62,$123
Willard Richmond,TX,Male,79,$130
Willard Welch,NY,Male,25,$899
Willian Blake,NC,Male,42,$163
Willian Sawyer,GA,Male,26,$221
Willie Bentley,GA,Female,66,$90
Willie Buchanan,NY,Female,43,$180
Willie Fuentes,GA,Female,72,$54
Willie Graham,NY,Male,66,$400
Willie Mayer,TN,Female,55,$331
Willie Shannon,GA,Male,47,$60
Willie Trujillo,NC,Female,76,$959
Willie Walker,CA,Female,75,$709
Willie Wheeler,FL,Male,56,$52
Willis Harmon,GA,Male,62,$26
Willis Sweet,PA,Male,45,$466
Willis Woodward,FL,Male,77,$433
Willy Jenkins,TX,Male,59,$70
Willy Reynolds,GA,Male,55,$469
Wilmer Horne,AZ,Male,82,$246
Wilton Knox,OR,Male,46,$200
Wilton Nash,TX,Male,48,$360
Wilton Neal,FL,Male,73,$210
Wilton Snow,NM,Male,37,$262
Winfred James,FL,Male,73,$1089
Winfred Kirk,OH,Male,53,$232
Winfred Young,VA,Male,34,$211
Winifred Kaufman,TX,Female,52,$299
Wm Cotton,CA,Male,63,$468
Wm Ward,CO,Male,31,$250
Woodrow Atkins,SC,Male,62,$659
Xavier Hensley,PA,Male,34,$151
Yolanda Bray,VA,Female,51,$354
Yong Davenport,CA,Male,57,$345
Young Warner,FL,Female,77,$66
Yvette Coffey,GA,Female,32,$1003
Yvette Duke,GA,Female,71,$20
Yvette Lopez,NC,Female,30,$140
Yvette Moss,TX,Female,75,$639
Yvonne Padilla,CA,Female,48,$590
Yvonne Soto,AZ,Female,49,$297
Zachariah Pace,NY,Male,42,$216
Zachary Daniel,CO,Male,58,$180
Zachary Hudson,TX,Male,71,$26
Zachary Kelley,RI,Male,26,$252
Zachery Britt,NY,Male,50,$164
Zachery Levine,TX,Male,54,$311
Zack Cantrell,TX,Male,62,$60
Zack Forbes,NC,Male,44,$398
Zack Haley,LA,Male,30,$185
Zackary Delacruz,TX,Male,39,$459
Zackary Leblanc,AL,Male,43,$239
Zackary McCullough,NM,Male,83,$208
Zane Hester,WA,Male,34,$26
Zane McCray,TX,Male,58,$244
Zane Tillman,NY,Male,21,$20
